Player Name,Player ID,Country,Hero
Antônio Humberto,12427485,BR,"Arakni, Marionette"
Gabriel Makai,18317156,BR,"Cindra, Dracai of Retribution"
Lucas Matos de Araújo,69518457,BR,"Riptide, Lurker of the Deep"
Raul Nascimento,49431471,BR,"Gravy Bones, Shipwrecked Looter"
Elifas Neto,48287855,BR,"Prism, Awakener of Sol"
Mateus Oliveira Silva,95893671,BR,"Pleiades, Superstar"
NATHAN ROCHA,18317231,BR,Dash I/O
Paulo Sampaio,68572425,BR,"Kayo, Armed and Dangerous"
Felipe Santos,58337719,BR,"Fang, Dracai of Blades"
Lucas Sobral,98596597,BR,"Kayo, Armed and Dangerous"
Pedro Artur Torres Costa,83291664,BR,"Kayo, Armed and Dangerous"
